word,meaning,description
Go bust,"파산하다, 망하다","Go bust... Go bust... 이 표현은 숙어로 '파산하다' 또는 '망하다'라는 뜻입니다. '파열하다, 터지다'라는 뜻의 동사 'burst'가 속어 형태로 변형된 'bust'를 써서, 회사의 재정 상태나 잘나가던 사업이 풍선처럼 펑 하고 터져버려 문을 닫게 된 상황을 생생하게 표현합니다. 영화에서는 ""They went bust."" 이 문장은 ""거기 망했어요.""라는 뜻입니다. Go bust, 파산하다."
Unpredictable,"예측할 수 없는, 종잡을 수 없는","Unpredictable... Unpredictable... 이 표현은 형용사로 '예측할 수 없는'이라는 뜻입니다. '부정'의 'un-', '미리'의 'pre-', '말하다'의 'dict', 그리고 '할 수 있는'의 '-able'이 기차처럼 길게 합쳐졌어요. 앞으로 무슨 행동을 할지 미리 말할 수 없을 정도로 럭비공 같은 사람이나 상황을 말하죠. 영화에서는 ""It's when I'm unpredictable, that's..."" 이 문장은 ""내가 예측 불가능하게 행동하면, 그러니까...""라는 뜻입니다. Unpredictable, 예측할 수 없는."
Game,"~할 용의가 있는, 기꺼이 하려는","Game... Game... 이 표현은 형용사로 '~할 용의가 있는' 또는 '기꺼이 하려는'이라는 뜻입니다. 명사로는 '놀이'지만, 옛날 사냥꾼들이 거친 사냥(game)에 나서겠다는 적극적인 태도에서 유래해, 누군가 제안을 했을 때 ""나도 할래! 콜!"" 하고 받아들일 때 원어민들이 아주 쿨하게 씁니다. 영화에서는 ""Whatever you say, I'm game."" 이 문장은 ""네가 하자는 대로 할게(나도 기꺼이 할게).""라는 뜻입니다. Game, ~할 용의가 있는."
Praise,"칭찬, 찬양","Praise... Praise... 이 표현은 명사로 '칭찬' 또는 '찬양'이라는 뜻입니다. '가치, 가격'을 뜻하는 라틴어 'pretium'에서 왔어요. 어떤 사람의 행동이나 사물이 지닌 진정한 가치를 높게 평가하고 널리 기려준다는 뜻에서 일상적인 칭찬부터 종교적인 찬양까지 두루 쓰입니다. 영화에서는 ""A hymn of praise to small town life..."" 이 문장은 ""작은 마을의 삶을 예찬하는(찬양하는) 이 영화는...""이라는 뜻입니다. Praise, 칭찬."
Split one's sides,배꼽 빠지게 웃다,"Split one's sides... Split one's sides... 이 표현은 숙어로 '배꼽 빠지게 웃다'라는 뜻입니다. 너무 심하게, 오랫동안 웃어서 양쪽 배나 옆구리(sides) 근육이 찢어질(split) 것 같이 아픈 상황을 과장해서 표현한 재미있는 이디엄이에요. 우리말의 '배꼽 빠지다'와 싱크로율 100%죠! 영화에서는 ""That scene with the bowl of cherries is going to have you splitting your sides with laughter..."" 이 문장은 ""체리 그릇 장면은 다시 봐도 배꼽 빠지게 웃기실 겁니다...""라는 뜻입니다. Split one's sides, 배꼽 빠지게 웃다."
Turnoff,"갈림길, 나가는 길","Turnoff... Turnoff... 이 표현은 명사로 '갈림길' 또는 '나가는 길'이라는 뜻입니다. 고속도로나 뻗어있는 큰 길에서 차를 돌려(turn) 바깥으로 벗어나는(off) 분기점을 말해요. (심리적으로는 내 흥미나 호감을 뚝 떨어뜨리는 비호감 요소를 뜻하기도 합니다!) 영화에서는 ""Truman, that's our turnoff. I changed my mind again."" 이 문장은 ""트루먼, 우리 빠지는 길은 저기잖아. 마음이 또 바뀌었어.""라는 뜻입니다. Turnoff, 갈림길."
Leak,"누출, 새는 곳","Leak... Leak... 이 표현은 명사로 '누출' 또는 '새는 곳'이라는 뜻입니다. 고대 네덜란드어에서 '물이 새다'를 뜻하던 단어에서 유래했어요. 배나 가스 파이프에서 물질이 새어 나오는 물리적인 누출부터, 비밀 정보가 언론에 새어 나가는 스캔들까지 모두 포함하는 중요한 명사입니다. 영화에서는 ""Truman, it looks like a leak at the plant."" 이 문장은 ""트루먼, 발전소에서 누출 사고가 난 것 같아.""라는 뜻입니다. Leak, 누출."
Creator,"창조자, 조물주","Creator... Creator... 이 표현은 명사로 '창조자' 또는 '만든 사람'이라는 뜻입니다. '자라게 하다, 만들다'를 뜻하는 라틴어 'creare'에 사람을 뜻하는 접미사 '-or'이 붙었어요. 아무것도 없는 곳에서 완벽한 무언가를 만들어내는 사람, 즉 신이나 트루먼 쇼의 크리스토프 같은 위대한 기획자를 웅장하게 부르는 단어입니다. 영화에서는 ""I am the creator of a television show..."" 이 문장은 ""나는... TV 쇼를 만든 사람(창조자)이다.""라는 뜻입니다. Creator, 창조자."
Ferry,"여객선, 연락선","Ferry... Ferry... 이 표현은 명사로 '여객선' 또는 '연락선'이라는 뜻입니다. '나르다, 운반하다'를 뜻하는 라틴어 'ferre'에서 왔어요. 사람이나 차를 이쪽에서 저쪽으로 실어 나르는 배를 뜻하죠. (Transfer, refer와 같은 어근입니다!) 영화에서는 ""Ferry's still here."" 이 문장은 ""배(여객선)가 아직 있네요.""라는 뜻입니다. Ferry, 여객선."
Dicer,다지는 기구,"Dicer... Dicer... 이 표현은 명사로 '다지기(기구)'라는 뜻입니다. 주사위를 뜻하는 'dice'에서 왔는데, 채소나 고기를 깍둑썰기로 주사위 모양처럼 네모나고 잘게 써는 도구라는 뜻에 접미사 '-er'을 붙여 만들었죠. 영화에서는 ""It's a dicer, grater, peeler, all in one."" 이 문장은 ""'셰프의 친구'래요. 다지기, 강판, 껍질 벗기기가 하나로 된 거예요.""라는 뜻입니다. Dicer, 다지는 기구."
Vending machine,자동판매기,"Vending machine... Vending machine... 이 표현은 명사로 '자동판매기'라는 뜻입니다. '팔다'를 뜻하는 라틴어 'vendere'에서 유래한 'vend(판매하다)'에 '기계(machine)'가 합쳐졌어요. 동전을 넣으면 물건을 툭 내어 파는 기계죠. 영화에서는 ""You should try stocking vending machines for a living."" 이 문장은 ""너도 먹고살려고 자판기 채우는 일 한번 해봐야 해.""라는 뜻입니다. Vending machine, 자동판매기."
Plankton,"플랑크톤, 부유 생물","Plankton... Plankton... 이 표현은 명사로 '플랑크톤' 또는 '부유 생물'이라는 뜻입니다. 그리스어로 '떠도는 것, 방랑하는 것'을 뜻하는 'planktos'에서 유래했어요. 물결에 따라 정처 없이 떠다니는 미세한 생물들을 아주 시적으로 표현한 단어랍니다. 영화에서는 ""One large, extra plankton."" 이 문장은 ""라지 사이즈 하나, 플랑크톤 추가해서요.""라는 뜻입니다. Plankton, 플랑크톤."
Interruption,"방해, 중단","Interruption... Interruption... 이 표현은 명사로 '방해' 또는 '중단'이라는 뜻입니다. '사이에'를 뜻하는 'inter-'와 '깨다, 부수다'를 뜻하는 라틴어 'rupt(rumpere)'가 합쳐졌어요. 매끄럽게 진행되던 일 사이에 불쑥 끼어들어 흐름을 팍 깨버린다는 뜻입니다. 영화에서는 ""Since the show is on 24 hours a day without commercial interruption..."" 이 문장은 ""광고(방해) 없이 24시간 방송되기 때문에...""라는 뜻입니다. Interruption, 방해."
Catalog,"상품 목록, 카탈로그","Catalog... Catalog... 이 표현은 명사로 '카탈로그' 또는 '상품 목록'이라는 뜻입니다. '아래로, 완전히'를 뜻하는 그리스어 'cata-'와 '말하다, 세다'를 뜻하는 'legein'이 만났어요. 사람들이 보기 편하게 품목들을 아래로 쭉 나열해 놓고 목록화한 책자죠. 영화에서는 ""All of it available in the Truman catalog..."" 이 문장은 ""트루먼 카탈로그에서 구매하실 수 있습니다...""라는 뜻입니다. Catalog, 상품 목록."
Romantic,"낭만적인, 연애의","Romantic... Romantic... 이 표현은 형용사로 '로맨틱한' 또는 '낭만적인'이라는 뜻입니다. 옛날 로망스어(Romanz)로 쓰인 기사들의 영웅담이나 연애 소설을 뜻하는 'Romance'에서 유래했어요. 현실보다는 소설 속 이야기처럼 달콤하고 감미롭다는 뜻이죠! 영화에서는 ""And a new romantic interest will be introduced."" 이 문장은 ""그리고 새로운 여자가(로맨틱한 관심사가) 등장할 거고요.""라는 뜻입니다. Romantic, 낭만적인."
Galaxy,은하계,"Galaxy... Galaxy... 이 표현은 명사로 '은하계'라는 뜻입니다. 그리스어로 '우유'를 뜻하는 'gala'에서 유래했어요. 밤하늘을 수놓은 무수한 별무리가 마치 우유를 엎질러 놓은 것 같은 하얀 길(Milky Way)처럼 보인다고 해서 붙여진 아주 아름다운 이름입니다. 영화에서는 ""I hereby proclaim this planet... Trumania of the Burbank galaxy."" 이 문장은 ""나는 이 행성을 버뱅크 은하계의 트루매니아로 명명하노라.""라는 뜻입니다. Galaxy, 은하계."
Basement,지하실,"Basement... Basement... 이 표현은 명사로 '지하실'이라는 뜻입니다. '기초, 바닥'을 뜻하는 'base'에 명사를 만드는 접미사 '-ment'가 붙었어요. 건물이 흔들리지 않게 가장 밑바닥 기초를 이루는 층이라는 직관적인 단어랍니다. 영화에서는 ""What's he doing in the basement?"" 이 문장은 ""지하실에서 뭐 하는 거야?""라는 뜻입니다. Basement, 지하실."
Convention,"대회, 집회, 관습","Convention... Convention... 이 표현은 명사로 '대회, 집회' 또는 '관습'이라는 뜻입니다. '함께'를 뜻하는 'con-'과 '오다'를 뜻하는 라틴어 'ven(venire)'이 만났어요. 특정한 목적을 위해 사람들이 한곳에 다 함께 모이는 거대한 행사를 뜻하죠. 영화에서는 ""I wanna check on the setups for the insurance convention tomorrow."" 이 문장은 ""내일 보험 컨벤션(대회) 준비 상황 좀 확인해야겠어.""라는 뜻입니다. Convention, 대회/집회."
Isolate,"격리하다, 분리하다","Isolate... Isolate... 이 표현은 동사로 '격리하다' 또는 '분리하다'라는 뜻입니다. '섬'을 뜻하는 라틴어 'insula'에서 유래했어요. 육지에서 뚝 떨어져 혼자 있는 외로운 섬처럼, 어떤 소리나 사람을 다른 것들과 떼어놓아 분리한다는 의미입니다. 영화에서는 ""Isolate the audio."" 이 문장은 ""오디오 분리해.""라는 뜻입니다. Isolate, 격리하다."
Torso,"상반신, 몸통","Torso... Torso... 이 표현은 명사로 '상반신' 또는 '몸통'이라는 뜻입니다. 이탈리아어로 양팔과 다리, 머리가 없는 조각상의 '몸통'을 뜻하던 단어가 그대로 영어로 들어왔어요. 의학이나 미술에서 사람의 핵심적인 신체 부위를 말할 때 씁니다. 영화에서는 ""Give me a close up on his torso."" 이 문장은 ""상반신 클로즈업해 봐.""라는 뜻입니다. Torso, 상반신."
Account for,"행방을 파악하다, 설명하다","Account for... Account for... 이 표현은 구동사로 '(행방을) 파악하다' 또는 '~을 설명하다'라는 뜻입니다. 돈의 출납을 계산하는 '계좌(account)'에서 파생되어, 사람이나 물건이 어디 있는지 정확히 하나하나 세어보고 행방을 파악해서 보고한다는 뉘앙스를 가집니다. 영화에서는 ""Yes, they've been accounted for."" 이 문장은 ""네, 다 확인했습니다(행방이 파악되었습니다).""라는 뜻입니다. Account for, 행방을 파악하다."
Recognizable,알아볼 수 있는,"Recognizable... Recognizable... 이 표현은 형용사로 '알아볼 수 있는'이라는 뜻입니다. '다시'의 're-'와 '알다'의 'cogn(cognoscere)'이 만난 'recognize(알아보다)'에 '-able(할 수 있는)'이 붙었어요. 스쳐 지나가도 한눈에 딱 보고 누군지 다시 알아챌 수 있을 만큼 눈에 띈다는 뜻이죠. 영화에서는 ""He has the world's most recognizable face."" 이 문장은 ""세상에서 제일 유명한(알아보기 쉬운) 얼굴인데.""라는 뜻입니다. Recognizable, 알아볼 수 있는."
Lighthouse,등대,"Lighthouse... Lighthouse... 이 표현은 명사로 '등대'라는 뜻입니다. 말 그대로 '빛(light)'을 비추는 '집(house)'이라는, 아주 직관적이고 쉬운 합성어입니다. 어두운 바다에서 배들이 길을 잃지 않게 생명의 빛을 쏘아주는 고마운 건물이기도 하죠. 영화에서는 ""Yeah. We have four of them down, but we have the lighthouse cameras up."" 이 문장은 ""네. 4개는 나갔는데 등대 카메라는 돼요.""라는 뜻입니다. Lighthouse, 등대."
Mast,돛대,"Mast... Mast... 이 표현은 명사로 '돛대'라는 뜻입니다. 고대 영어 'mæst'에서 유래한 단어로, 배가 바람을 타고 나아갈 수 있도록 돛을 매달기 위해 뱃바닥에서부터 수직으로 높이 세운 튼튼한 기둥을 뜻합니다. 영화에서는 ""Let's get off this mast shot."" 이 문장은 ""돛대 샷 치워.""라는 뜻입니다. Mast, 돛대."
Drunken,술 취한,"Drunken... Drunken... 이 표현은 형용사로 '술 취한'이라는 뜻입니다. 동사 'drink(마시다)'의 과거분사형인 'drunk'에서 파생되어, 옛날부터 주로 명사 앞에서 '술 취한 누구누구'라고 꾸며줄 때 수식어로 쓰이던 고전적인 형태예요. 영화에서는 ""What shall we do with a drunken sailor?"" 이 문장은 ""술 취한 선원은 어떻게 할까?""라는 뜻입니다. Drunken, 술 취한."
Belong,"~에 속하다, 제자리다","Belong... Belong... 이 표현은 동사로 '~에 속하다' 또는 '제자리다'라는 뜻입니다. '완전히'를 뜻하는 접두사 'be-'와 '함께 가다, 어울리다'라는 뜻을 가졌던 고대 영어 'lang'이 합쳐졌어요. 누군가나 물건이 원래 있어야 할 가장 자연스러운 자리나 소속을 뜻합니다. 영화에서는 ""You can't leave, Truman. You belong here... with me."" 이 문장은 ""자네는 못 떠나, 트루먼. 자네는 이곳에 속해 있어... 나와 함께.""라는 뜻입니다. Belong, ~에 속하다."
Audience,"관객, 시청자","Audience... Audience... 이 표현은 명사로 '관객' 또는 '시청자'라는 뜻입니다. '듣다'를 뜻하는 라틴어 'audire'에서 왔어요. 오디오(audio)와 같은 어원으로, 옛날에는 원형 극장에 모여 배우의 대사를 '듣는 사람들'을 뜻했지만 지금은 보는 사람들까지 모두 포함하게 되었습니다. 영화에서는 ""He was born in front of a live audience."" 이 문장은 ""태어나는 것도 생방송이었어(라이브 관객들 앞이었어).""라는 뜻입니다. Audience, 관객."
Rescue,"구조하다, 구출","Rescue... Rescue... 이 표현은 동사로 '구조하다', 명사로 '구출'이라는 뜻입니다. '다시, 뒤로'를 뜻하는 're-'와 '흔들다, 쫓아내다'를 뜻하는 고대 프랑스어 'escorre'가 합쳐졌어요. 위험에 처한 사람을 강하게 흔들어 깨우고 밖으로 빼내어 다시 살려낸다는 긴박한 의미가 담겨 있죠! 영화에서는 ""There's no rescue boat."" 이 문장은 ""구조선도 없잖아요.""라는 뜻입니다. Rescue, 구조하다."
Noble,"고귀한, 숭고한","Noble... Noble... 이 표현은 형용사로 '고귀한' 또는 '숭고한'이라는 뜻입니다. '알려진, 유명한'을 뜻하는 라틴어 'nobilis'에서 유래했어요. 누구나 알 만큼 훌륭하고 기품 있는 성품이나 신분을 뜻하죠. 영화에서는 ""It's a noble life."" 이 문장은 ""고귀한 삶이죠.""라는 뜻입니다. Noble, 고귀한."
News flash,"속보, 긴급 뉴스","News flash... News flash... 이 표현은 명사로 '속보' 또는 '긴급 뉴스'라는 뜻입니다. 번쩍이는 '섬광'을 뜻하는 'flash'를 써서, 정규 방송 중간에 번쩍하고 아주 빠르게 끼어드는 핫한 뉴스를 표현합니다. 영화에서는 ""Here's a news flash just in."" 이 문장은 ""방금 들어온 속보입니다.""라는 뜻입니다. News flash, 속보."
Appointment,"약속, 예약","Appointment... Appointment... 이 표현은 명사로 '약속' 또는 '예약'이라는 뜻입니다. '~쪽으로(ad-)'와 '점, 지점(point)'이 합쳐져서, 특정 시간과 장소를 딱 찍어서 정해두는 공적인 만남을 뜻해요. 친구와의 가벼운 약속(promise)과는 뉘앙스가 다르죠! 영화에서는 ""I have an appointment. Dentist."" 이 문장은 ""약속이 있거든요. 치과요.""라는 뜻입니다. Appointment, 약속."
Appreciate,"감사하다, 진가를 인정하다","Appreciate... Appreciate... 이 표현은 동사로 '감사하다' 또는 '진가를 인정하다'라는 뜻입니다. '~에게(ad-)'와 '가격, 가치(pretium)'가 결합했어요. 상대방이 베푼 호의나 어떤 물건의 진정한 가치를 높게 쳐주며 진심으로 고마워한다는 아주 품격 있는 단어입니다. 영화에서는 ""I really appreciate it."" 이 문장은 ""진심으로 감사드려요.""라는 뜻입니다. Appreciate, 감사하다."
Charge,"고발, 혐의, 요금","Charge... Charge... 이 표현은 명사로 '고발' 또는 '혐의'라는 뜻입니다. (동사로는 '청구하다, 충전하다'라는 뜻도 있어요!) 옛날 짐 마차에 무거운 짐(carrus)을 싣는다는 뜻에서 유래해, 누군가에게 죄나 책임을 무겁게 얹어 법적으로 고발한다는 의미로 쓰입니다. 영화에서는 ""Next time, we'll have to file charges."" 이 문장은 ""다음번엔 고발 조치하겠습니다.""라는 뜻입니다. Charge, 고발."
John,화장실 (속어),"John... John... 이 표현은 명사로 '화장실'이라는 뜻입니다. 원어민들이 일상에서 아주 흔하게 쓰는 속어(슬랭)예요. 수세식 화장실을 대중화시킨 영국의 존 해링턴(John Harington) 경의 이름에서 유래했다는 재미있는 설이 가장 유명하답니다. 영화에서는 ""Come on, who hasn't sat in the john..."" 이 문장은 ""왜, 누구나 화장실에 앉아서...""라는 뜻입니다. John, 화장실."
Network,"통신망, 네트워크","Network... Network... 이 표현은 명사로 '통신망' 또는 '네트워크'라는 뜻입니다. '그물(net)'과 '작업(work)'이 합쳐졌어요. 그물코처럼 촘촘하게 서로 연결되어 방송 전파나 수많은 정보를 주고받는 거대한 시스템을 말하죠. 영화에서는 ""An entire human life recorded on an intricate network of hidden cameras..."" 이 문장은 ""한 인간의 일생이 정교하게 숨겨진 카메라 네트워크에 기록되고...""라는 뜻입니다. Network, 통신망."
Generate,"발생시키다, 창출하다","Generate... Generate... 이 표현은 동사로 '발생시키다' 또는 '창출하다'라는 뜻입니다. '낳다, 생산하다'를 뜻하는 라틴어 어근 'gen-'에서 왔어요. 수익을 내거나 전기, 열, 아이디어 등을 새롭게 뿜어내고 만들어 낼 때 쓰는 아주 유용한 비즈니스 필수 단어입니다. 영화에서는 ""The show has generated enormous revenues..."" 이 문장은 ""이 쇼는 막대한 수익을 창출하고 있습니다...""라는 뜻입니다. Generate, 발생시키다."
Revenue,"수익, 수입","Revenue... Revenue... 이 표현은 명사로 '수익' 또는 '수입'이라는 뜻입니다. '다시, 뒤로'를 뜻하는 're-'와 '오다'를 뜻하는 라틴어 'venire'가 합쳐졌어요. 비즈니스에 투자한 돈이 돌고 돌아 나에게 다시 돌아오는 결과물, 즉 기업의 짭짤한 수입을 뜻하죠. 영화에서는 ""The show has generated enormous revenues..."" 이 문장은 ""이 쇼는 막대한 수익을 창출하고 있습니다...""라는 뜻입니다. Revenue, 수익."
Product placement,"간접 광고, PPL","Product placement... Product placement... 이 표현은 명사로 '간접 광고'라는 뜻입니다. 우리가 흔히 'PPL'이라고 부르는 그 단어의 원래 이름이에요! '제품(product)'을 방송 화면 속의 적절한 위치에 슬쩍 '배치(placement)'해서 시청자들에게 자연스럽게 광고 효과를 노리는 마케팅 기법입니다. 영화에서는 ""All those staggering revenues are generated by product placement."" 이 문장은 ""그 막대한 수익은 모두 간접 광고(PPL)로 충당합니다.""라는 뜻입니다. Product placement, 간접 광고."
Cell,"감방, 독방, 세포","Cell... Cell... 이 표현은 명사로 '감방' 또는 '작은 방'이라는 뜻입니다. '숨기다, 덮다'를 뜻하는 라틴어 'celare'에서 온 작은 방(cella)에서 유래했어요. 수도승이 머무는 좁은 방에서 시작해, 범죄자가 갇히는 감옥의 독방, 그리고 생물체를 이루는 쪼그만 세포까지 의미가 넓어졌죠. 영화에서는 ""Truman prefers his cell, as you call it."" 이 문장은 ""트루먼은 당신이 말하는 그 감옥을 더 좋아하는 겁니다.""라는 뜻입니다. Cell, 감방."
Principal,"주연 배우, 주요한","Principal... Principal... 이 표현은 명사로 '주연 배우' 또는 형용사로 '주요한'이라는 뜻입니다. (학교에서는 으뜸가는 선생님인 '교장 선생님'을 뜻하기도 해요!) '첫 번째의, 가장 중요한'을 뜻하는 라틴어 'principalis'에서 유래했어요. 극 중에서 가장 으뜸이 되는 역할을 맡은 핵심 배우들이죠. 영화에서는 ""The principals are helping out."" 이 문장은 ""주연 배우들도 돕고 있습니다.""라는 뜻입니다. Principal, 주연 배우."
Live,"생방송의, 라이브의","Live... Live... 이 표현은 형용사와 부사로 '생방송의' 또는 '실시간의'라는 뜻입니다. (동사 '살다(live)'와 스펠링은 같지만 발음이 '라이브'로 다르니 주의하세요!) 테이프에 미리 녹화된 게 아니라, 지금 이 순간 생생하게 살아 숨 쉬며 전파를 탄다는 뜻이죠. 영화에서는 ""You're live to the whole world."" 이 문장은 ""전 세계에 생중계되고(라이브로 나가고) 있단 말이다.""라는 뜻입니다. Live, 생방송의."
Mower,잔디 깎는 기계,"Mower... Mower... 이 표현은 명사로 '잔디 깎는 기계'라는 뜻입니다. '풀을 베다'를 뜻하는 동사 'mow'에 기구나 사람을 뜻하는 접미사 '-er'이 붙었어요. 미국식 단독 주택의 넓은 앞마당 잔디를 주말마다 시원하게 밀어버리는 바로 그 기계랍니다. 영화에서는 ""Fixing the mower."" 이 문장은 ""잔디 깎는 기계 고치고 있어.""라는 뜻입니다. Mower, 잔디 깎는 기계."
Finals,"기말고사, 결승전","Finals... Finals... 이 표현은 명사로 '기말고사' 또는 '결승전'이라는 뜻입니다. '끝, 마지막'을 뜻하는 'final'에 복수형 '-s'가 붙었어요. 학기의 제일 마지막을 장식하는 시험이거나, 스포츠 토너먼트의 끝판왕 경기를 부를 때 항상 복수형으로 씁니다. 영화에서는 ""We have finals tomorrow."" 이 문장은 ""우리 내일 기말고사잖아.""라는 뜻입니다. Finals, 기말고사."
Therapy,"치료, 요법","Therapy... Therapy... 이 표현은 명사로 '치료' 또는 '요법'이라는 뜻입니다. 그리스어로 '의학적 치료를 하다, 돌보다'를 뜻하는 'therapeuein'에서 유래했어요. 수술이나 약물뿐만 아니라 심리, 물리, 충격 요법 등 환자를 낫게 하기 위한 전반적인 돌봄 과정을 뜻합니다. 영화에서는 ""Hypnotism, shock therapy."" 이 문장은 ""최면술, 충격 요법까지.""라는 뜻입니다. Therapy, 치료."
Extra,"단역 배우, 엑스트라, 여분의","Extra... Extra... 이 표현은 명사로 '단역 배우(엑스트라)' 또는 형용사로 '여분의'라는 뜻입니다. '바깥의, 추가적인'을 뜻하는 라틴어 'extra'에서 왔어요. 극을 이끄는 주연 배우들 밖에서, 군중 씬이나 풍성한 배경을 채워주기 위해 추가로 투입된 배우들을 뜻하는 익숙한 방송 용어입니다. 영화에서는 ""Stand by, all extras."" 이 문장은 ""모든 엑스트라 대기.""라는 뜻입니다. Extra, 단역 배우."
Prop,소품,"Prop... Prop... 이 표현은 명사로 '소품'이라는 뜻입니다. 연극 무대나 영화 촬영에 쓰이는 물건을 뜻하는 'property(재산, 소유물)'를 아주 짧게 줄여서 부르는 방송계 은어예요. 무대를 사실적으로 꾸며주는 미술 감독의 든든한 '자산' 같은 물건들이죠! 영화에서는 ""Props, make sure the coffee's hot."" 이 문장은 ""소품팀, 커피 따뜻한지 확인하고.""라는 뜻입니다. Prop, 소품."
Frequency,"주파수, 빈도","Frequency... Frequency... 이 표현은 명사로 '주파수' 또는 '빈도'라는 뜻입니다. '자주 일어나는'을 뜻하는 형용사 'frequent'의 명사형이에요. 전파가 1초에 얼마나 자주(빈번하게) 진동하는지를 나타내는 과학 용어에서 라디오나 무전기의 채널을 뜻하는 '주파수'가 되었습니다. 영화에서는 ""Change frequencies."" 이 문장은 ""주파수 바꿔.""라는 뜻입니다. Frequency, 주파수."
Absence,"부재, 결석","Absence... Absence... 이 표현은 명사로 '부재' 또는 '결석'이라는 뜻입니다. '떨어져(ab-)'와 '존재하다(esse)'가 결합된 라틴어에서 왔어요. 자기가 있어야 할 그 자리에 존재하지 않고 텅 비어있다는 뜻으로, 학교에 안 가면 '결석', 오랜 기간 자리를 비우면 '부재'가 됩니다. 영화에서는 ""But how do you intend to explain his 22-year absence?"" 이 문장은 ""하지만 22년 동안 없었던 건(부재는) 어떻게 설명하실 건가요?""라는 뜻입니다. Absence, 부재."
Comfort,"위안, 편안함","Comfort... Comfort... 이 표현은 명사로 '위안' 또는 '편안함'이라는 뜻입니다. (동사로 '위로하다'라는 뜻도 있어요!) '강조'를 뜻하는 접두사 'com-'과 '강한'을 뜻하는 라틴어 'fortis(fort)'가 합쳐졌습니다. 지치고 불안한 마음을 옆에서 단단하고 강하게 지탱해 주어 위안을 준다는 데서 유래했죠. 영화에서는 'We find many viewers leave him on all night for comfort.' 이 문장은 '많은 시청자들이 위안을 얻기 위해 밤새 켜놓기도 합니다.'라는 뜻입니다. Comfort, 위안."
Private,"사적인, 개인적인","Private... Private... 이 표현은 형용사로 '사적인' 또는 '개인적인'이라는 뜻입니다. 라틴어로 '박탈당한' 혹은 '국가에서 떨어져 나온 개인'을 뜻하는 'privatus'에서 유래했어요. 공공의 영역에서 벗어나 온전히 나 혼자만의 것이라는 뜻을 가집니다. 영화에서는 'For me, there is no difference between a private life and a public life.' 이 문장은 '저에게는 사생활과 공적인 삶의 구분이 없습니다.'라는 뜻입니다. Private, 사적인."
Public,"공적인, 대중의","Public... Public... 이 표현은 형용사로 '공적인' 또는 명사로 '대중'이라는 뜻입니다. '사람들, 대중'을 뜻하는 라틴어 'populus'에서 파생된 'publicus'가 어원이에요. Private의 완벽한 반대말로, 모두가 함께 공유하고 지켜보는 영역을 뜻하죠. 영화에서는 'For me, there is no difference between a private life and a public life.' 이 문장은 '저에게는 사생활과 공적인 삶의 구분이 없습니다.'라는 뜻입니다. Public, 공적인."
Source,"원천, 근원","Source... Source... 이 표현은 명사로 '원천' 또는 '근원'이라는 뜻입니다. '솟아오르다'를 뜻하는 라틴어 'surgere'에서 왔어요. 땅속에서 맑은 물이 끊임없이 퐁퐁 솟아나는 샘처럼, 어떤 것의 근본적인 바탕이나 자료의 출처를 뜻합니다. 영화에서는 'If I die before I reach the summit, you'll use me as an alternative source of food.' 이 문장은 '내가 정상에 오르기 전에 죽으면, 나를 대체 식량으로 써줘요.'라는 뜻입니다. Source, 원천."
Assistance,"도움, 안내","Assistance... Assistance... 이 표현은 명사로 '도움' 또는 '안내'라는 뜻입니다. '~쪽으로'를 뜻하는 'ad-'와 '서다'를 뜻하는 라틴어 'sistere'가 만났어요. 누군가의 옆에 딱 서서 필요한 것을 거들어주고 돕는다는 뜻입니다. 영화에서는 'Could I have directory assistance for Fiji, please?' 이 문장은 '피지 전화번호 안내 좀 받을 수 있을까요?'라는 뜻입니다. Assistance, 도움/안내."
Sharpen,"날카롭게 하다, 갈다","Sharpen... Sharpen... 이 표현은 동사로 '날카롭게 하다' 또는 '(칼을) 갈다'라는 뜻입니다. '날카로운'을 뜻하는 형용사 'sharp'에 '~하게 만들다'라는 뜻을 더해주는 마법의 접미사 '-en'이 붙었어요. 영화에서는 'Never needs sharpening, dishwasher safe.' 이 문장은 '날을 갈 필요도 없고, 식기세척기에 넣어도 된대요.'라는 뜻입니다. Sharpen, 날카롭게 하다."
Fantasy,"환상, 상상","Fantasy... Fantasy... 이 표현은 명사로 '환상' 또는 '상상'이라는 뜻입니다. '보여주다, 빛나다'를 뜻하는 그리스어 'phainein'에서 유래했어요. 현실에는 없지만 내 머릿속에서 눈에 보이듯 생생하게 그려지는 환상적인 이미지를 말하죠! 영화에서는 'Truman, this is one of your fantasies...' 이 문장은 '트루먼, 너 또 상상하는 거야...'라는 뜻입니다. Fantasy, 환상."
Moss,이끼,"Moss... Moss... 이 표현은 명사로 '이끼'라는 뜻입니다. 고대 영어 'mos(늪, 습지, 이끼)'에서 그대로 이어져 온 아주 오래된 단어예요. 주로 속담이나 비유적 표현에서 정체되어 있는 상태를 상징할 때 자주 등장합니다. 영화에서는 'Early bird gathers no moss.' 이 문장은 '일찍 일어나는 새가... 이끼가 안 끼지.'라는 뜻입니다. Moss, 이끼."
